Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,controller,Competitive,All,Unrated,1.04,"['15.1', '14.5', '5.8']",48.6,0.8,211,0.1,12503
2,Killjoy,sentinel,Competitive,All,Unrated,0.94,"['13.4', '14.2', '4']",47.8,4.4,195,0.2,65401
3,Reyna,duelist,Competitive,All,Unrated,1.14,"['17.2', '15.1', '4.4']",47.7,13.7,246,0.1,204902
4,Jett,duelist,Competitive,All,Unrated,1.1,"['16.6', '15.1', '3.7']",47.5,10.3,241,0.1,155091
5,Raze,duelist,Competitive,All,Unrated,1.01,"['15.5', '15.3', '4.7']",46.9,7.1,231,0.1,106170
6,Brimstone,controller,Competitive,All,Unrated,0.94,"['13.4', '14.3', '6.8']",46.6,5.0,202,0.1,75197
7,Skye,initiator,Competitive,All,Unrated,0.89,"['13.3', '14.9', '6.8']",46.0,3.3,192,0.1,49482
8,Viper,controller,Competitive,All,Unrated,0.91,"['13.4', '14.6', '5.1']",45.8,3.2,194,0.1,47476
9,Sage,sentinel,Competitive,All,Unrated,0.85,"['12.2', '14.4', '6.4']",45.7,13.0,179,0.1,194428
10,Breach,initiator,Competitive,All,Unrated,0.91,"['13.8', '15.3', '6.1']",45.7,2.0,199,0.1,30288
11,Cypher,sentinel,Competitive,All,Unrated,0.94,"['13.6', '14.5', '4.7']",45.5,2.9,193,0.1,43858
12,Chamber,sentinel,Competitive,All,Unrated,1.01,"['14.9', '14.7', '3.2']",45.4,2.8,209,0.1,41673
13,Omen,controller,Competitive,All,Unrated,0.93,"['14', '15.1', '5.7']",45.0,5.9,200,0.1,88683
14,Sova,initiator,Competitive,All,Unrated,0.91,"['13', '14.2', '4.9']",45.0,6.0,194,0.1,90183
15,Fade,initiator,Competitive,All,Unrated,0.86,"['12.9', '15.1', '5.8']",44.6,4.0,187,0.1,60341
16,Phoenix,duelist,Competitive,All,Unrated,1.0,"['14.5', '14.5', '4.1']",43.9,5.5,218,0.1,83137
17,KAY/O,initiator,Competitive,All,Unrated,0.85,"['13.1', '15.4', '7.9']",43.3,3.5,193,0.1,52987
18,Neon,duelist,Competitive,All,Unrated,0.89,"['13.9', '15.7', '4']",42.4,3.0,205,0.1,45022
19,Harbor,controller,Competitive,All,Unrated,0.81,"['12.4', '15.3', '5.1']",41.0,0.7,180,0.1,10387
20,Yoru,duelist,Competitive,All,Unrated,0.86,"['13.2', '15.2', '4']",40.9,2.8,192,0.1,42286
1,Astra,controller,Competitive,Split,Unrated,1.06,"['15.4', '14.6', '6.1']",51.0,0.9,215,0.1,2228
2,Killjoy,sentinel,Competitive,Split,Unrated,0.97,"['13.8', '14.2', '4.1']",49.9,4.5,200,0.2,10637
3,Raze,duelist,Competitive,Split,Unrated,1.06,"['16.4', '15.4', '4.9']",48.8,9.0,243,0.1,21377
4,Reyna,duelist,Competitive,Split,Unrated,1.14,"['17.3', '15.1', '4.4']",48.1,13.2,247,0.1,31275
5,Skye,initiator,Competitive,Split,Unrated,0.92,"['13.8', '14.9', '7.1']",47.7,3.6,197,0.1,8472
6,Jett,duelist,Competitive,Split,Unrated,1.09,"['16.4', '15', '3.8']",47.6,9.5,240,0.1,22452
7,Brimstone,controller,Competitive,Split,Unrated,0.94,"['13.5', '14.3', '7']",47.5,4.9,203,0.1,11711
8,Sage,sentinel,Competitive,Split,Unrated,0.88,"['12.7', '14.4', '6.8']",47.4,14.0,186,0.1,33308
9,Omen,controller,Competitive,Split,Unrated,0.97,"['14.6', '15.1', '5.9']",46.4,6.8,207,0.1,16134
10,Cypher,sentinel,Competitive,Split,Unrated,0.97,"['14.1', '14.6', '4.9']",46.3,3.7,198,0.1,8669
11,Fade,initiator,Competitive,Split,Unrated,0.86,"['13', '15.1', '5.8']",45.0,3.7,188,0.1,8848
12,Chamber,sentinel,Competitive,Split,Unrated,1.01,"['15', '14.9', '3.3']",44.9,2.4,211,0.1,5676
